"Battlefield Earth", "Unclassified"
"Becker, Boris", "Tennis Player"
"Boot, Das", "Unclassified"
"Brainscan", "Unclassified"
"Cadillac", "Commercial"
"Chitty Chitty Bang Bang", "Unclassified"
"Dark Secrets: Inside Bohemian Grove", "Unclassified"
"Day, Doris", "Singer"
"Deep Throat", "Unclassified"
"Dumbo", "Unclassified"
"Emergency Broadcast System", "EBS"
"Fearless", "Unclassified"
"Flashback", "Unclassified"
"Godzilla vs. the Sea Monster", "Unclassified"
"Golden Child, The", "Unclassified"
"Hicks, Bill", "Comedian"
"Horizon: Psychedelic Science", "Documentary"
"It Conquered the World", "Unclassified"
"Loosing It", "Unclassified"
"Magnolia", "Unclassified"
"Manhunter", "Unclassified"
"Message to Love", "Documentary"
"Miami Vice", "TV Series"
"Misery", "Unclassified"
"My Dinner With Andre", "Unclassified"
"My Favorite Year", "Unclassified"
"Not the Nine O'Clock News", "TV Show"
"Others, The", "Unclassified"
"Papillon", "Unclassified"
"Reign Of Fire", "Unclassified"
"Salton Sea, The", "Unclassified"
"Saw", "Unclassified"
"Shaft", "Unclassified"
"Slayers", "TV-Series"
"Something Wicked This Way Comes", "Unclassified"
"Sticks", "Audio Drama"
"To Have and Have Not", "Unclassified"
"Toure, Kwame", "Leader/Activist"
"Trees Lounge", "Unclassified"
"Twin Peaks: Fire Walk with Me", "Unclassified"
"Underworld", "Unclassified"
"War of the Worlds, The", "Musical"
"Wonderwall", "Unclassified"
"Young Sherlock Holmes", "Unclassified"
"5,000 Fingers Of Dr. T., The", "Unclassified"
"7-Eleven", "Commercial"
"America Undercover", "Documentary"
"Antz", "Unclassified"
"Beach Girls and the Monster, The", "Unclassified"
"Betty Blue", "Unclassified"
"Beyond, The", "Unclassified"
"Bill Cosby - Himself", "Unclassified"
"Billy Jack", "Unclassified"
"Blind Fury", "Unclassified"
"Body Snatchers", "Unclassified"
"Children Shouldn't Play with Dead Things", "Unclassified"
"Clue", "Unclassified"
"Cradle of Fear", "Unclassified"
"Dark Shadows", "TV Series"
"Devil's Rain, The", "Unclassified"
"Ed Wood", "Unclassified"
"Equilibrium", "Unclassified"
"Fallen", "Unclassified"
"Ferraro, Geraldine", "Politician"
"Fire in the Sky", "Unclassified"
"Fortress", "Unclassified"
"Frontline: Little Criminals", "Documentary"
"Frost, Robert", "Poet"
"G.I. Joe", "Commercial"
"Glücksrad", "TV Show"
"Godfather: Part III, The", "Unclassified"
"Graduate, The", "Unclassified"
"Groovy Ghoulies", "Cartoon"
"Gunhed", "Unclassified"
"Heidi", "Animation"
"Henry: Portrait of a Serial Killer 2", "Unclassified"
"Herrenabend 4", "Unclassified"
"Hess, Rudolf", "Minister"
"Highlander", "TV Series"
"Hunde, wollt ihr ewig leben?", "Unclassified"
"Hunt For Red October, The", "Unclassified"
"Jackie Chan's First Strike", "Unclassified"
"Jagger, Mick", "Artist"
"Journey To Evil, A", "Documentary"
"King of New York", "Unclassified"
"King of the Hill", "TV Show"
"Korpen Flyger", "Unclassified"
"Krays, The", "Unclassified"
"Last Starfighter, The", "Unclassified"
"Late Late Show, The", "TV Show"
"Leaving Las Vegas", "Unclassified"
"Little Lord Fauntleroy", "Unclassified"
"Lord of the Rings", "Unclassified"
"Man with the Golden Arm, The", "Unclassified"
"Maniac 2: Mr. Robbie", "Unclassified"
"Marquette, Pee Wee", "Announcer"
"Max Payne", "Video Game"
"Mikey", "Unclassified"
"Moonstruck", "Unclassified"
"Mr. Ed", "Unclassified"
"New Wave Hookers #6", "Unclassified"
"Nova", "TV Show"
"Office Space", "Unclassified"
"On the Beach", "Unclassified"
"Orpheé", "Unclassified"
"Oz", "TV Show"
"Pet Semetary", "Unclassified"
"Petey Wheatstraw", "Unclassified"
"Planet of the Apes", "2001"
"Brown, H. Rap", "Leader"
"Cosby, Bill", "Comedian"
"Donnie Darko", "Unclassified"
"Edge Of Sanity", "Unclassified"
"Feather Dusted", "Cartoon"
"Legends of the Fall", "Unclassified"
"M*A*S*H", "TV Series"
"Matrix Reloaded, The", "Unclassified"
"Puppet Masters, The", "Unclassified"
"QED", "TV Documentary Series"
"Quaker Oats", "Commercial"
"Relic, The", "Unclassified"
"Revenge of the Nerds", "Unclassified"
"Salvation", "Unclassified"
"Sex, Lies and Videotape", "Unclassified"
"Shadow of the Vampire", "Unclassified"
"Shock Waves", "Unclassified"
"Soldier Girls", "Unclassified"
"Spaced Invaders", "Unclassified"
"Spy Who Shagged Me, The", "Unclassified"
"Telephone System", "Unclassified"
"Titanic", "Unclassified"
"Tombstone", "Unclassified"
"Transylvania 6-5000", "Cartoon"
"True Believer", "Unclassified"
"Ultima Underworld", "Computer Game"
"Unreal", "Video Game"
"Vanilla Sky", "Unclassified"
"Vera am Mittag", "TV Show"
"Wallace & Gromit: The Wrong Trousers", "Unclassified"
"War of the Gargantuas", "Unclassified"
"Warlock", "Unclassified"
"Warning To The Curious, A", "Unclassified"
"Welt in Jenem Sommer, Die", "Unclassified"
"Wolff, Bob", "Sports Commentator"
"Women in Revolt", "Unclassified"
"X-Faktor", "TV Series"
"Young Guns", "Unclassified"
"Addams Family, The", "Unclassified"
"Alligator People, The", "Unclassified"
